R.N,CALL NO.,AUTHOR,TITLE,COPY RIGHT,LOCATION,
505,242.2P884gc.7,,"PRAISE THE LORD, YOU SERVANTS OF THE LORD : morning and evening prayers for a retreat ( green cover )",1977,Filipiniana,
493,242.2P884yc.,,"PRAISE THE LORD, YOU SERVANTS OF THE LORD : morning and evening prayers for a retreat ( yellow cover)",1977,Filipiniana,
494,242.2P884yc.2,,"PRAISE THE LORD, YOU SERVANTS OF THE LORD : morning and evening prayers for a retreat ( yellow cover)",1977,Filipiniana,
495,242.2P884yc..3,,"PRAISE THE LORD, YOU SERVANTS OF THE LORD : morning and evening prayers for a retreat ( yellow cover)",1977,Filipiniana,
496,242.2P884yc.4,,"PRAISE THE LORD, YOU SERVANTS OF THE LORD : morning and evening prayers for a retreat ( yellow cover)",1977,Filipiniana,
497,242.2P884yc.5,,"PRAISE THE LORD, YOU SERVANTS OF THE LORD : morning and evening prayers for a retreat ( yellow cover)",1977,Filipiniana,
498,242.2P884yc.6,,"PRAISE THE LORD, YOU SERVANTS OF THE LORD : morning and evening prayers for a retreat ( yellow cover)",1977,Filipiniana,
,242.2P884yc.7,,"PRAISE THE LORD, YOU SERVANTS OF THE LORD : morning and evening prayers for a retreat ( yellow cover,number of copies 7 )",1977,Filipiniana (Duplicate copies),
25,248.3H871,"Richard J. Huelsman, S.J.",Pray : Moderator's Manual ( an introduction to the spiritual life for busy people,1976,General Reference,
24,264.10H871,"Richard J. Huelsman, S.J.",Pray : Participant's Handbook ( an introduction to the spiritual life for busy people),1976,General Reference,
548,248.2N856c.1,Henri J.M. Nouwen,PRAY TO LIVE,1972,SPIRITUALITY,
549,248.2N856c.2,Henri J.M. Nouwen,PRAY TO LIVE,1972,SPIRITUALITY,
213,248.32G349,Fabio Giardini,PRAY WITHOUT CEASING : toward a systematic psychotheology of christian prayerlife,1998,THEOLOGY,
827,248.3B217,Hans Urs Von Balthasar,PRAYER,1961,SPIRITUALITY,
243,248.3C111,Nicolas Caballero,PRAYER : Human Foundations and Techniques translated by Colette Joly Dees,1987,Filipiniana,
809,248.32M912,"Michael Mueller, C.Ss.R",PRAYER : The key to salvation ,1978,SPIRITUALITY,
947,248.3L315c.1,"Jean Laplace, S.J.",PRAYER ACCORDING TO THE SCRIPTURES,,SPIRITUALITY,
948,248.3L315c.2,"Jean Laplace, S.J.",PRAYER ACCORDING TO THE SCRIPTURES,,SPIRITUALITY,
853,248G820,"Thomas H. Green, S.J.",PRAYER AND COMMON SENSE,1995,SPIRITUALITY,
275,242.2G820,"Thomas H. Green, S.J.",Prayer and common sense,1996,Filipiniana,
409,242.2Sch61,"Fr. Bill Schock, SJ",Prayer and personal growth : reflections on prayer and the spiritual life exercises in personal growth,1990,Filipiniana,
110,248.305P8982006no.2,,"PRAYER AND SERVICE ,april - june 2006,no.2",2006,PERIODICAL,
105,248.305P8982006no.1,"Peter- Hans Kolvenbach, S.J","PRAYER AND SERVICE : The apostleship of prayer on the eay to the third millennium, no.1",2006,PERIODICAL,
106,248.305P8982008no.1c.1,,"PRAYER AND SERVICE : The eucharistics youth movement, no.1",2008,PERIODICAL,
,248.305P8982008no.1c.2,,"PRAYER AND SERVICE : The eucharistics youth movement, no.1 (number of copies 2 )",2008,PERIODICAL LIB2 (Duplicate copies),
78,248.305P898 1990,,PRAYER AND SERVICE 1990 - 1992,1990,PERIODICAL,
36,248.305P898,,PRAYER AND SERVICE 1992 - 1993,1994,PERIODICAL,
37,248.305P898,,PRAYER AND SERVICE 1994 - 1995,1994,PERIODICAL,
38,248.305P898,,PRAYER AND SERVICE 1996,1997,PERIODICAL,
77,248.305P898 1999,,PRAYER AND SERVICE 1999 - 2000,1999,PERIODICAL,
121,248.305P8982004no.4,,"PRAYER AND SERVICE october - december 2002, no.4",2004,PERIODICAL,
120,248.305P8982002no.4,,"PRAYER AND SERVICE october - december 2002, no.4 ",2002,PERIODICAL,
108,248.305P8982001no.1,,"PRAYER AND SERVICE, april - june 2001,no.1",2001,PERIODICAL,
111,248.305P8982007no.2,,"PRAYER AND SERVICE, april - june 2007, no.2",2007,PERIODICAL,
99,248.305P8982003no.1c.1,,"PRAYER AND SERVICE, january 2003 - march,no.1",2003,PERIODICAL,
,248.305P8982003no.1c.2,,"PRAYER AND SERVICE, january 2003 - march,no.1 (number of copies 2 )",2003,PERIODICAL LIB2 (Duplicate copies),
100,248.305P8982007no.2c.1,,"PRAYER AND SERVICE, JOHN PAUL II : Reflections on the Psalms (II), no.2",2007,PERIODICAL,
,248.305P8982007no.2c.2-4,,"PRAYER AND SERVICE, JOHN PAUL II : Reflections on the Psalms (II), no.2 (number of copies 4)",2007,PERIODICAL LIB2 (Duplicate copies),
101,248.305P8982007no.1,,"PRAYER AND SERVICE, JOHN PAUL II : Reflections on the Psalms (III),no.1",2007,PERIODICAL,
102,248.305P8982007no.1,,"PRAYER AND SERVICE, JOHN PAUL II : Reflections on the Psalms (IV),no.1",2007,PERIODICAL,
103,248.305P8982005no.3,,"PRAYER AND SERVICE, JOHN PAUL II : Reflections on the Psalms (V),no.3",2005,PERIODICAL,
107,248.305P8982004no.4,,"PRAYER AND SERVICE,april - june  2004, no.2",2004,PERIODICAL,
104,248.305P8982001no.1,,"PRAYER AND SERVICE,january - march 2001, no.1",2001,PERIODICAL,
35,248.305P898,,PRAYER AND SERVICES : Daily life,1998,PERIODICAL,
,,Rev. Henri J.M Nouwen,PRAYER AND THE PRIEST ,1980,BOOKLET,
642,248.2W632,"John Wickham, S.J.",PRAYER COMPANIONS' HANDBOOK,1991,SPIRITUALITY,
547,242P898,,PRAYER FOR ALL OCCASIONS,1988,SPIRITUALITY,
367,248.34C380,"Pierre Charles, S.J.",PRAYER FOR ALL TIMES,1929,SPIRITUALITY,
730,242P898,,PRAYER FOR CHRISTIAN UNITY 1996  : Pontifical council for promoting christian unity,1989,SPIRITUALITY,
804,242F247,"Edward Farrell, S.T.L.",PRAYER IS A HUNGER,1972,SPIRITUALITY,
518,242.3M297,"George A. Maloney, S.J.",PRAYER OF THE HEART,1986,SPIRITUALITY,
587,262.1P898,,Prayer the life of the church of Asia : The Second Plenary Assembly of the federation of asian bishops' conferences ( Statement and recommendations ) ,1979,Filipiniana,
611,248.32F811,Richard J. Foster,PRAYER: FINDING THE HEART'S TRUE HOME,1964,SPIRITUALITY,
832,248.3H224,Bernard Haring,PRAYER: The integration of faith and life,1975,SPIRITUALITY,
619,234.131M426,"Rick Mathis, PH. D.",PRAYER-CENTERED HEALING: Finding the god who heals,2000,SPIRITUALITY,
602,242.4B235,William Barclay,PRAYERS FOR HELP AND HEALING,1968,SPIRITUALITY,
194,265.3R129,Hugo Rahner & Karl Rahner,PRAYERS FOR MEDITATION,1962,SPIRITUALITY,
,,Pilis Bergin PBVM,PRAYERS FOR VOCATIONS (3 copies),,BOOKLET,
7,242M855,"Mossi, John P.",Prayers from the cross : solace for all seasons,1997,Filipiniana,
109,242.8G931,Romano Guardini,PRAYERS FROM THEOLOGY,1959,SPIRITUALITY,
514,242Od57,Marie Rene O Donoghue . Ssc,PRAYERS OF ACCOMPANIMENT,1993,Filipiniana,
84,248.305P898 1993,,PRAYING : Something like bird songs,1993,PERIODICAL,
85,248.305P898 1996,,PRAYING 1996 - 1997 : The presence and absence of God ,1996,PERIODICAL,
873,248.32F225,"Robert Faricey, S.J.",PRAYING FOR INNER HEALING,1979,SPIRITUALITY,
125,226.306R273,"Reilly, John",Praying Mark,1995,Filipiniana,
170,248.32C162,Elizabeth Canham,Praying the Bible,1988,BIBLICAL STUDIES,
885,242.5M558c.1,Thomas Merton,PRAYING THE PSALMS ,1990,SPIRITUALITY,
886,242.5M558c.2,Thomas Merton,PRAYING THE PSALMS ,1990,SPIRITUALITY,
872,242.3V243,"Carlos G. Valles, S.J.",PRAYING TOGETHER: Psalms for contemplation,1989,SPIRITUALITY,
141,248.4V26,Dom Hubert Van Zeller,PRAYING WHILE YOU WORK,,SPIRITUALITY,
572,209.24V763,Patricia Mary Vinje,PRAYING WITH CATHERINE OF SIENA,1990,SPIRITUALITY,
381,248.34P898,,PRAYING WITH CHRIST A HOLY HOUR,1981,SPIRITUALITY,
966,248.3B452c.1,Jacqueline Syrup Bergan & Marie Schwan,PRAYING WITH IGNATIUS OF LOYOLA : Companions for the journey,1991,SPIRITUALITY,
967,248.3B452c.2,Jacqueline Syrup Bergan & Marie Schwan,PRAYING WITH IGNATIUS OF LOYOLA : Companions for the journey (photo copy),1991,SPIRITUALITY,
264,242M366,CARLO CARDINAL MARTINI,PRAYING WITH SAINT LUKE,1987,Filipiniana,
450,226.4M366,CARLO CARDINAL MARTINI,Praying with Saint Luke,1987,Filipiniana,
,,"V. Perniola, S.J",PRAYING WITH SCRIPTURE ,1980,BOOKLET,
,,Pilis Bergin PBVM,PRAYING WITH SCRIPTURE (4 copies),,BOOKLET,
,,,"PRAYING WITH SCRIPTURE : SPEAK , LORD YOUR SERVANT IS LISTENING (8 copies)",,,
291,248.32B797,Rosemary Broughton,PRAYING WITH TERESA OF AVILA,1990,SPIRITUALITY,
113,248.305P8982001no.3,,"PRAYING WITH THE CHURCH 2002 july - september 2001,no.3",2004,PERIODICAL,
112,248.305P8982002no.3c.1,,"PRAYING WITH THE CHURCH 2002 july - september 2002,no.3",2003,PERIODICAL,
,248.305P8982002no.3c.2-3,,"PRAYING WITH THE CHURCH 2002 july - september 2002,no.3(number of copies 3)",2003,PERIODICAL LIB2 (Duplicate copies),
115,248.305P8982004no.3c.1,,"PRAYING WITH THE CHURCH 2004 july - september 2003,no.3",2003,PERIODICAL,
,248.305P8982004no.3c.2,,"PRAYING WITH THE CHURCH 2004 july - september 2003,no.3(number of copies 2)",2003,PERIODICAL LIB2 (Duplicate copies),
116,248.305P8982005no.3,,"PRAYING WITH THE CHURCH 2005 july - september 2004,no.3",2004,PERIODICAL,
117,248.305P8982005no.4,,"PRAYING WITH THE CHURCH 2006 july - december  2005,no.4",2005,PERIODICAL,
118,248.305P8982006no.3c.1,,"PRAYING WITH THE CHURCH 2007 july - september 2006,no.3",2006,PERIODICAL,
,248.305P8982006no.3c.2,,"PRAYING WITH THE CHURCH 2007 july - september 2006,no.3(number of copies 2)",2006,PERIODICAL LIB2 (Duplicate copies),
119,248.305P8982007no.3c.1,,"PRAYING WITH THE CHURCH 2008 july - september 2007,no.3",2002,PERIODICAL,
,248.305P8982007no.3c.2,,"PRAYING WITH THE CHURCH 2008 july - september 2007,no.3(number of copies 2)",2002,PERIODICAL LIB2 (Duplicate copies),
397,248.3P898,,PRAYING WITh the First Companions : reflections and prayers on the Jubilee Year of the First Jesuits,n.d.,Filipiniana,
440,248.43P898,,PRAYING WITh the First Companions : reflections and prayers on the Jubilee Year of the First Jesuits,n.d.,Filipiniana,
250,220.6F958,Reginald H. Fuller,Preaching the Lectionary: The Word of God for the Church Today,1984,THEOLOGY,
870,248.4L315,"Jean Laplace, S.J.",PREPARING FOR SPIRITUAL DIRECTION,1975,SPIRITUALITY,
93,264D719,Daniel Donovan,PREPARING FOR WORSHIP : sundays and feast days - cycle C,1994,THEOLOGY,
226,,Michael J. Buckley,"Priesthood and Society: Vocations, Recruitment, and Formation  vol. 2,no.16",1972,PERIODICAL,
59,234.2N514,Victor S. Nicdao et Al.,PRIESTHOOD AND THE PRESBYTER: Priesthood in Christ and the Presbyter in the Church,1986,Filipiniana,
497,246.02P933,"J. R. Sheets, S.J.",PRIESTLY SPIRITUALITY AND THE EUCHARIST,1977,SPIRITUALITY,
86,262.14Su36,Emmanuel Cardinal Suhard,PRIESTS AMONG MEN : the essential nature of the priesthood and the priestly mission in the modern social order,1960,THEOLOGY,
452,291.13P935,,PRIMER OF NEW AGE / prepared for the Catholic Bishops Conference of the Philippines,2004,Filipiniana,
290,248.4P268,Ricardo J. Cardinal Vidal,PRIMER ON 1996 BEC RADICAL DISCIPLESHIP,1996,Filipiniana,
312,282.09759P935,,Primer on The Second Plenary Council of the Philippines,1991,Filipiniana,
118,262L146,,PRO MUNDI VITA: THE LAITY AND THE EXTRAORDINARY SYNOD 1985,1985,THEOLOGY,
209,230Or82,Ladislas M. Orsy,PROBING THE SPIRIT : a theological evaluation of communal discernment,1976,THEOLOGY,
362,262.15P941,,PROCEEDINGS of the CEBU ARCDIOCESAN CONGRESS OF THE LAITY,2003,Filipiniana,
249,262.13P941,,PROCEEDINGS of the CEBU ARCDIOCESAN PRIESTS' CONGRESS,2002,Filipiniana,
181,252F444,"Joseph Fichtner, O.S.C.",PROCLAIM HIS WORD : homilies themes for Sunday and holydays ( volume 11 : cycle A ),1974,THEOLOGY,
138,263.8H240,Maria Harris,PROCLAIM JUBILEE! : A Spirituality for the twenty-first Century,1996,SPIRITUALITY,
580,289.3Al863,Miguel M. Alvarez,Profiles : St. Thomas More ; St. Pius x,n.d.,Filipiniana,
440,289.7L721,"Edward Leen, C.S.SP",PROGRESS THROUGH MENTAL PRAYER : Sheed and Ward,1935,SPIRITUALITY,
76,248.05 P943,,PROGRESSIO,1996,PERIODICAL,
308,"248.05P943,n.60",,"PROGRESSIO : An International Presence: CLC at the UN — The CLC-NGO Working Group in New York, Supplement No. 60",2005,PERIODICAL,
305,"248.05P943,n.1-2",,PROGRESSIO : Building Bridges no.1,2002,PERIODICAL,
300,"248.05P943,n.3c.1",,PROGRESSIO : Editorial  1996 no.3,1996,PERIODICAL,
301,"248.05P943,n.3c.2",,PROGRESSIO : Editorial  1996 no.3,1996,PERIODICAL,
312,"248.05P943,n.52-53",,PROGRESSIO : Josée Gsell: An Ignatian Woman nos.52 - 53,1999,PERIODICAL,
302,"248.05P943,n.1-2",,PROGRESSIO : Looking back Moving forward nos.1-2,1999,PERIODICAL,
313,"248.05P943,n.54-55",,PROGRESSIO : The Magis Program noa.54-55,2000,PERIODICAL,
309,"248.05P943,n.63",,"PROGRESSIO : XV CLC General Assembly, Fatima 2008: Supplement No. 63",2008,PERIODICAL,
311,"248.05P943,n.47-49c.1",Bethy Oudot,PROGRESSIO: Guidelines for Prayer from the School of St. Ignatius nos. 47-48-49 (c.1),1997,PERIODICAL,
,"248.05P943,n.47-49c.2",Bethy Oudot,PROGRESSIO: Guidelines for Prayer from the School of St. Ignatius nos. 47-48-49 (number of copies 2),1997,PERIODICAL LIB2 (Duplicate copies),
303,"248.05P943,n.1-2",,PROGRESSIO: Pondering and Thanksgivinh nos.1-2,2000,PERIODICAL,
306,"248.05P943,n.57","John English, S.J.","PROGRESSIO: Twenty-Four Spiritual Exercises for the New Story of Universal Communion, supplement no.57",2002,PERIODICAL,
307,"248.05P943,n.58",,"PROGRESSIO: XIVth CLC General Assembly, Fatima 2003: Supplement No. 58",2003,PERIODICAL,
304,"248.05P943,n.1-2",,PROGRESSIO:CLC and Social reality nos. 1-2,2001,PERIODICAL,
56,362.1962P943c.1,,PROJECT BALIK BUHAY,,FILIPIANA (LIBRARY 2),
57,362.1962P943c.2,,PROJECT BALIK BUHAY,,FILIPIANA (LIBRARY 2),
58,362.1962P943c.3,,PROJECT BALIK BUHAY,,FILIPIANA (LIBRARY 2),
59,362.1962P943c.4,,PROJECT BALIK BUHAY,,FILIPIANA (LIBRARY 2),
40,248P945,,PROPHETS FOR THE THIRD MILLENNIUM,1990,,
149,204P946,,PROTESTANTS AND CATHOLICS ON THE SPIRITUAL LIFE,1965,SPIRITUALITY,
10,,Giovanna Magi,PROVINCE ,2003,SPECIAL COLLECTION LIB 2,
19,,Zertifikat Deutsch ,Prüfungstraining,2008,SPECIAL COLLECTION LIB 2,
132,223.2B734,Leslie F. Brandt,PSALMS / NOW,1973,SPIRITUALITY,
7,248.8 St455,"E. Mark Stern, Burt G. Marino",PSYCHO THEOLOGY : discovery of sacredness in humanity,1970,THEOLOGY,
2,261.83C811,"Charles J. D. Corcoran, O.P.",PSYCHOLOGY OF THE CHARISMATIC RENEWAL,1981,SPIRITUALITY,
122,248.305P8982003no.5,,"PTAYER AND SERVICE  October- december 2003,no.4",2005,PERIODICAL,
123,248.305P8982006no.4,,"PTAYER AND SERVICE  October- december 2006,no.4",2006,PERIODICAL,
,,Utanislas Lyonnet,PULONG UG KINABUHI ,,,
1,266.2D340,NAS PEGADAS DE XAVIER,PURSUING THE DREAM,1990,SPECIAL COLLECTION,
449,252.3092C337,ANDREW F. CERVINI S.J.,QUARTERMASTERS FOR CHRIST: THE LIFE OF THE JESUIT BROTHERS,,Filipiniana,
85,220.076M136,"Francis J. McCool, S.J.",QUESTIONS on the BIBLE,1962,BIBLICAL STUDIES,
632,248.3H276,"David J. Hassel, S.J.","RADICAL PRAYER : Creating a welcome for God, ourselves ,other people and the world",1983,SPIRITUALITY,
77,423R159c.1,,RANDOM HOUSE WEBSTER'S COLLEGE DICTIONARY,1992,GEN-REF2,
80,423R159c.2,,RANDOM HOUSE WEBSTER'S COLLEGE DICTIONARY,1991,GEN-REF2,
65,759.5B388,James Beck,RAPHAEL THE STANZA DELLA SEGNATURA,1993,GEN-REF2,
155,220.07M363,George Martin,Reading scripture as the word of God : practical approaches and attitudes ( word of life),1975,BIBLICAL STUDIES,
917,248.4G214c.1,Francesco Rossi de Gasperis S.J.,READING THE BIBLE AS A SPIRITUAL EXERCISE,1993,SPIRITUALITY,
918,248.4G214c.2,Francesco Rossi de Gasperis S.J.,READING THE BIBLE AS A SPIRITUAL EXERCISE,1993,SPIRITUALITY,
138,255.5R227,,READINGS FROM THE CONSTITUTIONS OF THE SOCIETY OF JESUS,1969,General Reference,
143,255.5R227,,READINGS FROM THE CONSTITUTIONS OF THE SOCIETY OF JESUS,,General Reference,
167,282.092Sch861,"John N. Schumacher, S.J.",READINGS IN JESUIT HISTORY AND SPIRITUALITY,1998,SPIRITUALITY,
652,248.2D340,"Rev. A. de Mello, S.J.",READINGS ON THE SPIRITUAL EXERCISES,,SPIRITUALITY,
49,641.5622F149,Joanna Farrow,READY STEADY COOK FOR KIDS,2006,GEN-REF2,
542,248.2Se689,"Antonin Sertillanges, O.P.",RECOLLECTION,1950,SPIRITUALITY,
552,264.023D340,Pedro S. de Achutegui,RECONCILIATION: The 1983 synod of Bishops,1983,Filipiniana,
27,813.52K288,Steven G. Kellman,REDEMPTION: THE LIFE OF HENRY ROTH,2005,REFERENCE (Library 2),
34,262.91R247,,REDEMPTIONIS DONUM : APOSTOLIC EXHORTATION OF HIS HOLINESS POPE JOHN PAUL II TO MEN AND WOMEN RELIGIOUS ON THEIR CONSECRATION IN THE LIGHT OF THE MYSTERY OF THE REDEMPTION,1984,PAPAL COLLECTION,
68,255R247,,REDEMPTIONIS DONUM : APOSTOLIC EXHORTATION OF HIS HOLINESS POPE JOHN PAUL II TO MEN AND WOMEN RELIGIOUS ON THEIR CONSECRATION IN THE LIGHT OF THE MYSTERY OF THE REDEMPTION,1984,PAPAL COLLECTION,
151,264.02R247,,REDEMPTIONIS SACRAMENTUM On Certain Matters to be Observed or to be Avoided Regarding the Most Holy Eucharist ( Congregation for Divine Worship and the Discipline of the Sacrament ) Instruction,2004,Filipiniana,
77,232.9R247,,REDEMPTOR HOMINIS : ENCYCLINAL LETTER OF HIS HOLINESS POPE JOHN PAUL II ON THE MYSTERY OF REDEMPTION AND TH EDIGNITY OF MAN,,PAPAL COLLECTION,
35,262.91R248,,REDEMPTORIS MATER ENCYCLICAL LETTER OF THE SUPREME PONTIFF JOHN PAUL II ON THE BLESSED VIRGIN MARY IN THE LIFE OF THE PILGRIM CHURCH,1987,PAPAL COLLECTION,
372,232.9R247,"William J. Malley, S.J.","Redemtionis Donum REFLECTIONS ON ""The Gift of the Redemption""",1986,Filipiniana,
567,232B744,Eamonn Bredin,REDISCOVERING JESUS CHALLENGE OF FRIENDSHIP,1985,Filipiniana,
156,248.3405Sp4851981,John Carroll Futrell,REFLECTION ON SOME ISSUES IN: JESUIT SPIRITUALITY TODAY,1981,PERIODICAL,
93,248.4Ar699,"Fr. Pedro Arrupe, S.J.",REFLECTIONS & REMEMBRANCES : ten years after his death,19?,SPIRITUALITY,
229,271.53092F268,"Fr. Pedro Arrupe, S.J.",Reflections & remembrances : ten years after his death,n.d.,Filipiniana,
103,262M366,Carlo Cardinal Martini,REFLECTIONS ON THE CHURCH : meditations on Vatican II,1987,THEOLOGY,
866,248.4N481,"Robert R. Newton, S.J.",REFLECTIONS ON THE EDUCATIONAL PRINCIPLES OF THE SPIRITUAL EXERCISES,1975,SPIRITUALITY,
6,223.6L585 c.1,C.S. Lewis,REFLECTIONS ON THE PSALMS,1961,SPIRITUALITY,
7,223.6L585 c.2,C. S. Lewis,REFLECTIONS ON THE PSALMS ( lacking pages),1961,SPIRITUALITY,
241,234.161R259,"Paul S. Fiddes, editor",Reflections on the water : Uderstanding God and the World through the Baptism of Believers,1996,THEOLOGY,
560,242.3M297,"George A. Maloney, S.J.",REFLECTIVE WRITING,1979,SPIRITUALITY,
87,370.71P25,PILAR PARÍS (COORD.),REFLEXIONEMOS PARA EDUCAR MEJOR,1999,SPECIAL COLLECTION,
163,248.05W364r,,REFOUNDING: CHURCH AND SPIRITUALITY,2001,PERIODICAL,
20,,Herausgegeben ,REISE zur MITTE DER WELT,,SPECIAL COLLECTION LIB 2,
32,959.9C445,"PEDRO CHIRINO, S.J.",RELACION DE LAS ISLAS FILIPINAS / THE PHILIPPINES 1600,1969,SPECIAL COLLECTION,
498,248.4N206,Watchamn Nee,RELEASE OF THE SPIRIT,1993,SPIRITUALITY,
126,200.9730903B976,Jon Butler,RELIGION IN COLONIAL AMERICA v.1,2000,General Reference,
961,291.4O55,Diarmuid O' Murchu,RELIGION IN EXILE : A spiritual homecoming,2000,SPIRITUALITY,
139,306.6B830,Steve Bruce,RELIGION IN THE MODERN WORLD FROM CATHEDRALS TO CULTS,1969,General Reference,
151,200.973B215,Randall Balmer,RELIGION IN TWENTIETH CENTURY AMERICA,1999,General Reference,
489,248.4Iv32c.1,Francisco Ivern,RELIGIOUS AND THE INTEGRAL DEVELOPMENT OF MAN,1978,SPIRITUALITY,
490,248.4Iv32c.2,Francisco Ivern,RELIGIOUS AND THE INTEGRAL DEVELOPMENT OF MAN,1978,SPIRITUALITY,
722,248.8R279,,RELIGIOUS LIFE,,SPIRITUALITY,
38,282.960959D340,"Pedro S. de Achutegui, S.J",Religious Revolution in the Philippines The Life and Church of Gregorio Aglipay 1860-1960,1960,Filipiniana,
690,261.5F75,"John C. Ford, S.J.",RELIGIOUS SUPERIORS SUBJECT AND PSYCHIATRIST,1963,SPIRITUALITY,
358,282.0925B648 c.1,Rafael N. Borromeo S.J,Remembering at Eighty-Eight : memoirs of a Jesuit,2019,Filipiniana,
359,282.0925B648c.2,Rafael N. Borromeo S.J,Remembering at Eighty-Eight : memoirs of a Jesuit,2019,Filipiniana,
,282.0925B648c.3,Rafael N. Borromeo S.J,Remembering at Eighty-Eight : memoirs of a Jesuit (number of copies 3 ),2020,Filipiniana (Duplicate copies),
380,270.092K913,James H. Kroeger,"Remembering Our Bishop Joseph W. Regan, M.M.",1998,Filipiniana,
21,SP2012,,RESOURCES FOR LIFE AFTER CANCER : Educationa; support meetings,2012,VERTICAL FILE,
42,302.2023R313,,RESUMES FOR COMMUNICATION CAREERS,2003,GEN-REF2,
385,226.7H384c.1,"Herman Hendrickx, c.i.c.m.",RESURRECTION NARRATIVES,1978,Filipiniana,
386,226.7H384c.2,"Herman Hendrickx, c.i.c.m.",RESURRECTION NARRATIVES,1978,Filipiniana,
75,248.4R291,"JESÚS RENAU, S.J.",RETIRO DE ORACIÓN,1994,SPECIAL COLLECTION,
438,254.609595R315,,RETREAT HOUSES AND SPIRITUALITY CENTERS IN THE PHILIPPINES,1986,Filipiniana,
518,271.53092C355,"John Chambers, S.J.",Return to Lepers' Isle 1992-1995,2003,Filipiniana,
610,248.823C355,"John Chambers, S.J.",Return to Lepers' Isle 1992-1995,2003,Filipiniana,
456,261.243G875,Bede Griffiths,RETURN TO THE CENTER,1976,SPIRITUALITY,
315,248.2K38, ,"REUPHOLSTERED PSALMS II MORE JOYFUL, MOURNFUL NOISES",2022,SPIRITUALITY,
382,223.206K38,GREG KENNEDY SJ,REUPHOLSTERED PSALMS III THE HARD ROAD UP TOI HALLELUJAH,2022,SPIRITUALITY,
184,227.6G914,Dr. William Grossouw,REVELATION AND REDEMPTION :  a sketch of the theology of St. John,1955,BIBLICAL STUDIES,
946,248.4B46,Mason Betha,REVELATIONS : There's light after the lime,2001,SPIRITUALITY,
166,"248.305C333,2005",,REVIEW FOR RELIGIOUS  :  A journal of catholic spirituality,2005,PERIODICAL,
131,248.305C333v.31,,"REVIEW OF IGNATIAN SPIRITUALITY :  Refounding  XXXI, i . 2000,no.93",2000,PERIODICAL,
130,248.305C333v.30,,"REVIEW OF IGNATIAN SPIRITUALITY : A wa to God  XXX, i . 1999,no.91",1999,PERIODICAL,
139,248.305C333v.33,,"REVIEW OF IGNATIAN SPIRITUALITY : Doing ignatian spiritualty  XXXIII, i . 2002, no.101",2002,PERIODICAL,
134,248.305C333v.33,,"REVIEW OF IGNATIAN SPIRITUALITY : Exercises and patnership XXXIII, i . 2002, no.99",2002,PERIODICAL,
135,248.305C333v.35,,"REVIEW OF IGNATIAN SPIRITUALITY : Finding the church XXXV, i . 2004, no.105 (c.1)",2004,PERIODICAL,
136,248.305C333v.35,,"REVIEW OF IGNATIAN SPIRITUALITY : Finding the church XXXV, i . 2004, no.105 (c.2)",2004,PERIODICAL,
133,248.305C333v.32,,"REVIEW OF IGNATIAN SPIRITUALITY : Frends in mission  XXXII, i . 2001,no.96",2001,PERIODICAL,
141,"248.305C333,no.89",,REVIEW OF IGNATIAN SPIRITUALITY : Friends in the lord no.89,,PERIODICAL,
132,248.305C333v.31,,"REVIEW OF IGNATIAN SPIRITUALITY : Giving exercises notes three XXXI, i . 2000, no.94",2000,PERIODICAL,
140,248.305C333v.35,,"REVIEW OF IGNATIAN SPIRITUALITY : Religious catholic practice and ignatian spirituality XXXV, iii . 2004, no.107",2004,PERIODICAL,
138,248.305C333v.34,,"REVIEW OF IGNATIAN SPIRITUALITY : Reports & retorts XXXIV, i . 2003, no.104",2003,PERIODICAL,
137,248.305C333v.30,,"REVIEW OF IGNATIAN SPIRITUALITY : The ministry of exercises  XXX, i . 1999, no.90 ",1999,PERIODICAL,
125,"248.305C333,1999/2000",,REVIEW OF IGNATIAN SPIRITUALITY DIRECTORY 1999/2000,2000,PERIODICAL,
126,248.305C333 v.32c.1,,REVIEW OF IGNATIAN SPIRITUALITY DIRECTORY 2001,2001,PERIODICAL,
,248.305C333 v.32c.2,,REVIEW OF IGNATIAN SPIRITUALITY DIRECTORY 2001 (number of copies 2),2001,PERIODICAL LIB2 (Duplicate copies),
127,248.305C333v.33c.1,,REVIEW OF IGNATIAN SPIRITUALITY DIRECTORY 2002,2002,PERIODICAL,
,248.305C333v.33c.2,,REVIEW OF IGNATIAN SPIRITUALITY DIRECTORY 2002 (number of copies 2),2002,PERIODICAL LIB2 (Duplicate copies),
128,248.305C333v.34,,REVIEW OF IGNATIAN SPIRITUALITY DIRECTORY 2003,2003,PERIODICAL,
129,248.305C333v.35c.1,,REVIEW OF IGNATIAN SPIRITUALITY DIRECTORY 2004,2004,PERIODICAL,
,248.305C333v.35c.2,,REVIEW OF IGNATIAN SPIRITUALITY DIRECTORY 2004 (number of copies 2),2004,PERIODICAL LIB2 (Duplicate copies),
82,248.3405 R325 1990,,REVIEW OF IGNATIAN SPIRITUALITY vol.28,2000,PERIODICAL,
83,248.3405R325,,REVIEW OF IGNATIAN SPIRITUALITY vol.29,1998,PERIODICAL,
278,,,"Review of Ignatian Spirituality: The Grace of the 35th General Congregation ,vol.37, no.133",2006,PERIODICAL,
