R.N,CALL NO.,AUTHOR,TITLE,COPY RIGHT,LOCATION,
48,H373,Ernest Hemingway,A FAREWELL TO ARMS,1929,FICTION,
140,242G945,"Nil Guillemette, S.J.",A GENTLE BREEZE : God - tales for young and old,1989,Filipiniana,
64,L585,C.S. Lewis,A GRIEF OBSERVED,1961-1976,FICTION,
75,270.3Sp491,Msgr. Laurence J. Spiteri,A GUIDE TO CHURCH HISTORY: A HISTORY OF THE ROMAN CATHOLIC CHURCH UNTIL THE COUNCIL OF TRENT,2014,Filipiniana,
53,641.4So688,Nora Narvaez-Soriano,"A GUIDE TO FOOD SELECTION, PREPARATION AND PRESERVATION",1986,FILIPIANA (LIBRARY 2),
23,242G820,"Thomas H. Green, S.J.",A GUIDE TO PRAYER OPENING TO GOD,1977,Filipiniana,
538,271.53L962,"Thomas M. Lucas, S.J.",A GUIDE TO THE ROOMS OF ST. IGNATIUS LOYOLA,1990,SPIRITUALITY,
274,271.092G941,,A Guide to the Rooms of St. Ignatius Loyola,1990,Filipiniana,
28,271.53009 B224,"William V. Bangert, S.J.",A HISTORY OF THE SOCIETY OF JESUS,1972,THEOLOGY,
277,264Si61,,A HOLY HOUR FOR THE SANCTIFICATION OF PRIESTS  : VOLUME I,n.d.,Filipiniana,
75,248.4 H971,Gloria Hutchinson,A Journal Retreat : CHRIST ENCOUNTERS,1988,THEOLOGY,
208,201M296,"William J. Malley, S.J.",A journey with Jesus in the Spirit of the New Millennium No. 4: The Dynamics of the Filipino and Human Faith Experience,2000,Filipiniana,
810,234.1W168,Rev. Vincent M. Walsh,A KEY TO CHARISMATIC RENEWAL IN THE CATHOLIC CHURCH,1975,SPIRITUALITY,
447,226.5P14,NATIVIDAD PAGADUT,A KEY TO THE BOOK OF REVELATION,1993,Filipiniana,
398,225.77 H384,"Herman Hendrickx, c.i.c.m.",A Key to the Gospel of Mark,1993,Filipiniana,
539,225.7H384,"Herman Hendrickx, c.i.c.m.",A KEY TO THE GOSPEL OF MATTHEW,1992,Filipiniana,
266,226.83V666,M. GEMMA VICTORINO,A Key to the Letter to the Galatians,1993,Filipiniana,
265,226.87B457,PAUL BERNIER,A Key to the Letter to the Hebrews,1993,Filipiniana,
267,226.84V666,M. GEMMA VICTORINO,A Key to the Letter to the Romans,1993,Filipiniana,
24,232K281,W. Phillip Keller,A LAYMAN LOOKS AT THE LAMB OF GOD,1982,THEOLOGY,
233,248.3C639,John B. Coburn,A LIFE TO LIVE A WAY TO PRAY,1973,SPIRITUALITY,
454,248.2R540,St. Gaston Roberge S.J.,A LITTLE WAY TO GOD : St.Theresa of Lisiuex and the scared heart of jesus,1984,SPIRITUALITY,
384,231.6L962,Max Lucado,A LOVE WORTH GIVING : Living in the overflow of GOD's love,1952,SPIRITUALITY,
193,232.9P541,J.B. Phillips,A MAN CALLED JESUS : the gospel story in 26 short plays,1962,THEOLOGY,
77,B639,Robert Bolt,A MAN FOR ALL SEASONS,1960,FICTION,
162,230Sh351,,A Map by  F.J. Sheed,1993,THEOLOGY,
67,398.33C692,Marie Collins & Virgina Davis,A MEDIEVAL BOOK OF SEASONS,1992,GEN-REF2,
80,D731,Mark Van Doren,A MIDSUMMER NIGHT'S DREAM,1902-1939,FICTION,
780,248.3St251c.1,"David M. Stanley, S.J.",A MODERN SCRIPTURAL APPROACH TO THE SPIRITUAL EXERCISES,1967,SPIRITUALITY,
781,248.3St251c.2,"David M. Stanley, S.J.",A MODERN SCRIPTURAL APPROACH TO THE SPIRITUAL EXERCISES,1967,SPIRITUALITY,
782,248.3St251c.3,"David M. Stanley, S.J.",A MODERN SCRIPTURAL APPROACH TO THE SPIRITUAL EXERCISES,1967,SPIRITUALITY,
783,248.3St251c.4,"David M. Stanley, S.J.",A MODERN SCRIPTURAL APPROACH TO THE SPIRITUAL EXERCISES,1967,SPIRITUALITY,
